rank, msg_num, payload_size, timestamp
0, 41, 8192, 1550720410.881581
0, 42, 8192, 1550720410.882542
0, 43, 8192, 1550720410.882551
0, 44, 8192, 1550720410.884354
0, 45, 8192, 1550720410.884364
0, 46, 8192, 1550720410.886090
0, 47, 8192, 1550720410.886100
0, 48, 8192, 1550720410.886107
0, 49, 8192, 1550720410.887819
0, 50, 8192, 1550720410.888766
0, 51, 8192, 1550720410.888775
0, 52, 8192, 1550720410.890577
0, 53, 8192, 1550720410.890586
0, 54, 8192, 1550720410.892373
0, 55, 8192, 1550720410.892383
0, 56, 8192, 1550720410.894124
0, 57, 8192, 1550720410.895081
0, 58, 8192, 1550720410.895090
0, 59, 8192, 1550720410.896904
0, 60, 8192, 1550720410.896914
0, 61, 8192, 1550720410.896922
0, 62, 8192, 1550720410.898710
0, 63, 8192, 1550720410.898719
0, 64, 8192, 1550720410.900414
0, 65, 8192, 1550720410.901423
0, 66, 8192, 1550720410.901432
0, 67, 8192, 1550720410.903630
0, 68, 8192, 1550720410.903640
0, 69, 8192, 1550720410.904991
0, 70, 8192, 1550720410.905000
0, 71, 8192, 1550720410.906727
0, 72, 8192, 1550720410.906737
0, 73, 8192, 1550720410.907727
0, 74, 8192, 1550720410.907737
0, 75, 8192, 1550720410.909520
0, 76, 8192, 1550720410.909529
0, 77, 8192, 1550720410.911337
0, 78, 8192, 1550720410.911346
0, 79, 8192, 1550720410.913049
0, 80, 8192, 1550720410.914012
0, 81, 8192, 1550720410.914022
0, 82, 8192, 1550720410.915844
0, 83, 8192, 1550720410.915853
0, 84, 8192, 1550720410.915860
0, 85, 8192, 1550720410.917630
0, 86, 8192, 1550720410.917640
0, 87, 8192, 1550720410.919854
0, 88, 8192, 1550720410.920509
0, 89, 8192, 1550720410.920519
0, 90, 8192, 1550720410.922215
0, 91, 8192, 1550720410.922224
0, 92, 8192, 1550720410.924238
0, 93, 8192, 1550720410.924250
0, 94, 8192, 1550720410.925650
0, 95, 8192, 1550720410.926620
0, 96, 8192, 1550720410.926631
0, 97, 8192, 1550720410.926638
0, 98, 8192, 1550720410.928425
0, 99, 8192, 1550720410.928435
0, 0, 16384, 1550720410.930275
0, 1, 16384, 1550720410.932950
0, 2, 16384, 1550720410.934757
0, 3, 16384, 1550720410.936576
0, 4, 16384, 1550720410.936589
0, 5, 16384, 1550720410.939266
0, 6, 16384, 1550720410.941484
0, 7, 16384, 1550720410.943116
0, 8, 16384, 1550720410.944661
0, 9, 16384, 1550720410.945594
0, 10, 16384, 1550720410.947359
0, 11, 16384, 1550720410.949179
0, 12, 16384, 1550720410.950921
0, 13, 16384, 1550720410.951864
0, 14, 16384, 1550720410.953698
0, 15, 16384, 1550720410.955477
0, 16, 16384, 1550720410.957259
0, 17, 16384, 1550720410.958183
0, 18, 16384, 1550720410.960018
0, 19, 16384, 1550720410.961789
0, 20, 16384, 1550720410.964560
0, 21, 16384, 1550720410.966488
0, 22, 16384, 1550720410.966499
0, 23, 16384, 1550720410.968083
0, 24, 16384, 1550720410.970813
0, 25, 16384, 1550720410.972619
0, 26, 16384, 1550720410.974429
0, 27, 16384, 1550720410.976203
0, 28, 16384, 1550720410.977144
0, 29, 16384, 1550720410.978930
0, 30, 16384, 1550720410.980738
0, 31, 16384, 1550720410.982728
0, 32, 16384, 1550720410.983444
0, 33, 16384, 1550720410.985268
0, 34, 16384, 1550720410.987052
0, 35, 16384, 1550720410.988793
0, 36, 16384, 1550720410.989742
0, 37, 16384, 1550720410.991534
0, 38, 16384, 1550720410.993348
0, 39, 16384, 1550720410.996039
0, 40, 16384, 1550720410.996050
0, 41, 16384, 1550720410.997851
0, 42, 16384, 1550720410.999683
0, 43, 16384, 1550720411.002379
0, 44, 16384, 1550720411.004248
0, 45, 16384, 1550720411.005980
0, 46, 16384, 1550720411.005993
0, 47, 16384, 1550720411.008647
0, 48, 16384, 1550720411.009602
0, 49, 16384, 1550720411.011374
0, 50, 16384, 1550720411.013223
0, 51, 16384, 1550720411.015013
0, 52, 16384, 1550720411.016814
0, 53, 16384, 1550720411.018708
0, 54, 16384, 1550720411.020334
0, 55, 16384, 1550720411.021278
0, 56, 16384, 1550720411.023113
0, 57, 16384, 1550720411.024921
0, 58, 16384, 1550720411.027703
0, 59, 16384, 1550720411.027715
0, 60, 16384, 1550720411.029406
0, 61, 16384, 1550720411.031204
0, 62, 16384, 1550720411.033921
0, 63, 16384, 1550720411.035725
0, 64, 16384, 1550720411.037560
0, 65, 16384, 1550720411.037572
0, 66, 16384, 1550720411.040285
0, 67, 16384, 1550720411.042024
0, 68, 16384, 1550720411.043829
0, 69, 16384, 1550720411.045584
0, 70, 16384, 1550720411.046606
0, 71, 16384, 1550720411.048338
0, 72, 16384, 1550720411.050145
0, 73, 16384, 1550720411.051892
0, 74, 16384, 1550720411.052834
0, 75, 16384, 1550720411.054638
0, 76, 16384, 1550720411.056464
0, 77, 16384, 1550720411.058215
0, 78, 16384, 1550720411.059169
0, 79, 16384, 1550720411.060955
0, 80, 16384, 1550720411.062759
0, 81, 16384, 1550720411.065459
0, 82, 16384, 1550720411.067329
0, 83, 16384, 1550720411.067340
0, 84, 16384, 1550720411.069053
0, 85, 16384, 1550720411.071786
0, 86, 16384, 1550720411.073569
0, 87, 16384, 1550720411.075381
0, 88, 16384, 1550720411.077121
0, 89, 16384, 1550720411.078093
